"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"Brøndby IF","2-0","AGF","4001","John P. Nielsen","Brøndby Stadion"
1991-03-16,"AGF","2-2","OB","4800","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"FC København","4-1","Viborg FF","5241","Peter Mikkelsen","Parken"
1991-03-16,"Næstved IF","8-2","Lyngby BK","1759","Finn Lambek","Næstved Stadion"
1991-03-16,"Silkeborg IF","3-1","Ikast FS","4256","Carl Laursen","Silkeborg Stadion"
1991-03-16,"Brøndby IF","1-1","AaB","3586","Jan Damgaard","Brøndby Stadion"
1991-03-16,"Ikast FS","2-2","AGF","2936","Jan Damgaard","Ikast Stadion"
1991-03-16,"Lyngby BK","1-1","FC København","6122","Kaj Østergaard","Lyngby Stadion"
1991-03-16,"OB","2-1","Brøndby IF","8172","Svend Erik Christensen","Odense Stadion"
1991-03-16,"Viborg FF","0-3","Silkeborg IF","6670","Knud Erik Fisker","Viborg Stadion"
1991-03-16,"AaB","2-0","Næstved IF","5300","Arne Hansen","Aalborg Stadion"
1991-03-16,"Brøndby IF","1-1","Ikast FS","3205","Lars Gerner","Brøndby Stadion"
1991-03-16,"FC København","0-0","Næstved IF","3859","Kim Milton Nielsen","Parken"
1991-03-16,"OB","0-0","AaB","2203","Peter Mikkelsen","Odense Stadion"
1991-03-16,"AGF","6-0","Viborg FF","4800","Finn Lambek","Århus Stadion"
1991-03-16,"Silkeborg IF","3-0","Lyngby BK","3004","John P. Nielsen","Silkeborg Stadion"
1991-03-16,"Ikast FS","1-0","OB","2493","Kim Milton Nielsen","Ikast Stadion"
1991-03-16,"Lyngby BK","3-1","AGF","2148","Finn Lambek","Lyngby Stadion"
1991-03-16,"Næstved IF","1-1","Silkeborg IF","2630","Jan Damgaard","Næstved Stadion"
1991-03-16,"Viborg FF","2-2","Brøndby IF","3924","Arne Hansen","Viborg Stadion"
1991-03-16,"AaB","0-1","FC København","4900","Carl Laursen","Aalborg Stadion"
1991-03-16,"Brøndby IF","1-1","Lyngby BK","4155","Peter Mikkelsen","Brøndby Stadion"
1991-03-16,"OB","4-0","Viborg FF","1602","Lars Gerner","Odense Stadion"
1991-03-16,"Silkeborg IF","4-1","FC København","5140","Finn Lambek","Silkeborg Stadion"
1991-03-16,"AaB","2-2","Ikast FS","3100","Kaj Østergaard","Aalborg Stadion"
1991-03-16,"AGF","4-0","Næstved IF","3700","Knud Erik Fisker","Århus Stadion"
1991-03-16,"AGF","3-1","Brøndby IF","6900","Kaj Østergaard","Århus Stadion"
1991-03-16,"FC København","0-3","Ikast FS","3120","Svend Erik Christensen","Parken"
1991-03-16,"Lyngby BK","1-0","AaB","1581","Knud Erik Fisker","Lyngby Stadion"
1991-03-16,"Næstved IF","1-2","Viborg FF","1773","Carl Laursen","Næstved Stadion"
1991-03-16,"Silkeborg IF","3-0","OB","6034","Jan Damgaard","Silkeborg Stadion"
1991-03-16,"Brøndby IF","3-0","Silkeborg IF","7268","Kim Milton Nielsen","Brøndby Stadion"
1991-03-16,"Ikast FS","5-2","Næstved IF","2004","Finn Lambek","Ikast Stadion"
1991-03-16,"OB","1-0","FC København","5660","John P. Nielsen","Odense Stadion"
1991-03-16,"Viborg FF","1-1","Lyngby BK","2026","Svend Erik Christensen","Viborg Stadion"
1991-03-16,"AaB","4-1","AGF","5300","Peter Mikkelsen","Aalborg Stadion"
1991-03-16,"FC København","3-1","Brøndby IF","9748","Jan Damgaard","Parken"
1991-03-16,"Lyngby BK","2-0","Ikast FS","1512","Arne Hansen","Lyngby Stadion"
1991-03-16,"Næstved IF","0-2","OB","1362","Peter Mikkelsen","Næstved Stadion"
1991-03-16,"Silkeborg IF","0-0","AGF","5693","Lars Gerner","Silkeborg Stadion"
1991-03-16,"Viborg FF","2-2","AaB","2980","Kim Milton Nielsen","Viborg Stadion"
1991-03-16,"AGF","1-2","FC København","6700","Carl Laursen","Århus Stadion"
1991-03-16,"Brøndby IF","5-0","Næstved IF","5653","Lars Gerner","Brøndby Stadion"
1991-03-16,"Ikast FS","3-0","Viborg FF","4403","John P. Nielsen","Ikast Stadion"
1991-03-16,"OB","0-0","Lyngby BK","3574","Kaj Østergaard","Odense Stadion"
1991-03-16,"AaB","2-2","Silkeborg IF","5000","Svend Erik Christensen","Aalborg Stadion"
1991-03-16,"Lyngby BK","0-0","Brøndby IF","4570","Finn Lambek","Lyngby Stadion"
1991-03-16,"FC København","1-2","Silkeborg IF","6320","Peter Mikkelsen","Parken"
1991-03-16,"Ikast FS","2-1","AaB","2464","Jan Damgaard","Ikast Stadion"
1991-03-16,"Næstved IF","3-2","AGF","1046","Kim Milton Nielsen","Næstved Stadion"
1991-03-16,"Viborg FF","2-3","OB","1995","Knud Erik Fisker","Viborg Stadion"
