"date","home_team","result","away_team","attendance","referee","place"
1991-03-16,"16.05.2005 15.00","FC Nordsjælland","0-1","AaB","2.539","Martin Wulff"
1991-03-16,"16.05.2005 15.00","OB","1-0","Randers FC","6.738","Nicolai Vollquartz"
1991-03-16,"16.05.2005 15.00","Viborg FF","2-2","Esbjerg fB","4.742","Knud Stadsgaard"
1991-03-16,"16.05.2005 17.30","Brøndby IF","5-0","FC København","26.418","Claus Bo Larsen"
1991-03-16,"19.05.2005 19.00","AGF","4-0","Randers FC","7.963","Peter Rasmussen"
1991-03-16,"19.05.2005 19.00","Esbjerg fB","4-0","Silkeborg IF","7.592","Martin Wulff"
1991-03-16,"19.05.2005 19.00","FC København","1-1","OB","15.326","Emil Laursen"
1991-03-16,"19.05.2005 19.00","Herfølge BK","1-0","FC Nordsjælland","1.694","Anders Hermansen"
1991-03-16,"19.05.2005 19.00","AaB","5-3","Viborg FF","8.732","Johnny H. Røn"
1991-03-16,"19.05.2005 20.00","FC Midtjylland","3-1","Brøndby IF","11.719","Kim Milton Nielsen"
1991-03-16,"22.05.2005 15.00","FC Nordsjælland","2-1","AGF","2.343","Kim Milton Nielsen"
1991-03-16,"22.05.2005 15.00","OB","3-1","FC Midtjylland","6.838","René Christensen                               
                              / 
                              Bo Blankholm Pedersen"
1991-03-16,"22.05.2005 15.00","Randers FC","0-1","FC København","6.437","Michael Svendsen"
1991-03-16,"22.05.2005 15.00","Silkeborg IF","1-0","AaB","4.178","Claus Bo Larsen"
1991-03-16,"22.05.2005 15.00","Viborg FF","2-1","Herfølge BK","4.032","Emil Laursen"
1991-03-16,"22.05.2005 17.30","Brøndby IF","4-0","Esbjerg fB","22.242","Nicolai Vollquartz"
1991-03-16,"28.05.2005 17.00","AaB","3-3","Brøndby IF","14.025","Knud Stadsgaard"
1991-03-16,"29.05.2005 15.00","Esbjerg fB","3-2","OB","10.444","Johnny H. Røn"
1991-03-16,"29.05.2005 15.00","AGF","1-2","Viborg FF","8.712","Claus Bo Larsen"
1991-03-16,"29.05.2005 15.00","FC Nordsjælland","2-0","Randers FC","4.443","Thomas Vejlgaard"
1991-03-16,"29.05.2005 15.00","Herfølge BK","1-1","Silkeborg IF","1.523","Martin Wulff"
1991-03-16,"29.05.2005 17.30","FC Midtjylland","1-0","FC København","11.160","Peter Rasmussen"
1991-03-16,"11.06.2005 17.00","Brøndby IF","7-0","Herfølge BK","26.118","Kim Milton Nielsen"
1991-03-16,"12.06.2005 15.00","OB","1-2","AaB","6.789","Martin Wulff"
1991-03-16,"12.06.2005 15.00","Randers FC","0-3","FC Midtjylland","4.335","Anders Hermansen"
1991-03-16,"12.06.2005 15.00","Silkeborg IF","1-1","AGF","5.625","Michael Svendsen"
1991-03-16,"12.06.2005 15.00","Viborg FF","1-2","FC Nordsjælland","4.380","Knud Erik Fisker"
1991-03-16,"12.06.2005 17.30","FC København","1-0","Esbjerg fB","17.589","Knud Stadsgaard"
1991-03-16,"15.06.2005 19.00","AGF","1-2","Brøndby IF","13.269","Peter Rasmussen"
1991-03-16,"15.06.2005 19.00","Esbjerg fB","0-0","FC Midtjylland","10.126","Thomas Vejlgaard"
1991-03-16,"15.06.2005 19.00","FC Nordsjælland","2-3","Silkeborg IF","3.721","Emil Laursen"
1991-03-16,"15.06.2005 19.00","Herfølge BK","2-3","OB","1.103","Anders Hermansen"
1991-03-16,"15.06.2005 19.00","Viborg FF","2-1","Randers FC","3.285","René Christensen"
1991-03-16,"15.06.2005 19.00","AaB","1-1","FC København","13.963","Kim Milton Nielsen"
1991-03-16,"19.06.2005 15.00","Brøndby IF","2-0","FC Nordsjælland","27.356","Johnny H. Røn"
1991-03-16,"19.06.2005 15.00","FC København","1-1","Herfølge BK","21.255","Knud Erik Fisker"
1991-03-16,"19.06.2005 15.00","FC Midtjylland","4-1","AaB","11.738","Peter Rasmussen"
1991-03-16,"19.06.2005 15.00","OB","3-0","AGF","5.098","Nicolai Vollquartz"
1991-03-16,"19.06.2005 15.00","Randers FC","2-2","Esbjerg fB","2.042","Michael Svendsen"
1991-03-16,"19.06.2005 15.00","Silkeborg IF","3-2","Viborg FF","3.232","Knud Stadsgaard"
1991-03-16,"Silkeborg Stadion","Silkeborg Stadion","Silkeborg Stadion","Silkeborg Stadion","Silkeborg Stadion","Silkeborg Stadion"
1991-03-16,"Esbjerg fB","2-2","OB","6863","René Christensen","Esbjerg Idrætspark"
1991-03-16,"AC Horsens","0-3","Viborg FF","3433","Knud Stadsgaard","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","1-1","SønderjyskE","2126","Kim Milton Nielsen","Farum Park"
1991-03-16,"Silkeborg IF","2-1","AGF","4936","Nicolai Vollquartz","Silkeborg Stadion"
1991-03-16,"AaB","0-1","FC København","11419","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-0","FC Midtjylland","15141","Emil Laursen","Brøndby Stadion"
1991-03-16,"Brøndby IF","2-0","Silkeborg IF","11253","Thomas Vejlgaard","Brøndby Stadion"
1991-03-16,"FC Midtjylland","2-1","Esbjerg fB","7512","Kim Milton Nielsen","SAS Arena"
1991-03-16,"OB","2-1","AaB","5679","Michael Svendsen","Fionia Park"
1991-03-16,"SønderjyskE","2-1","AGF","4171","Henning Jensen","Haderslev Fodboldstadion"
1991-03-16,"Viborg FF","3-1","FC Nordsjælland","2880","Henrik Nystrup Kragh","Viborg Stadion"
1991-03-16,"FC København","2-0","AC Horsens","15854","Emil Laursen","Parken"
1991-03-16,"AaB","1-1","FC Midtjylland","5867","Knud Erik Fisker","Aalborg Stadion"
1991-03-16,"AC Horsens","0-0","OB","3537","Lars Christoffersen","Forum Horsens Stadion"
1991-03-16,"AGF","2-3","Viborg FF","6672","Anders Hermansen","Århus Stadion"
1991-03-16,"FC Nordsjælland","1-2","FC København","9118","Martin Wulff","Farum Park"
1991-03-16,"Silkeborg IF","3-2","SønderjyskE","3857","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"Esbjerg fB","2-3","Brøndby IF","9865","Nicolai Vollquartz","Esbjerg Idrætspark"
1991-03-16,"Brøndby IF","3-1","AaB","12636","Knud Stadsgaard","Brøndby Stadion"
1991-03-16,"Esbjerg fB","4-0","Silkeborg IF","7095","Peter Rasmussen","Esbjerg Idrætspark"
1991-03-16,"FC Midtjylland","2-1","AC Horsens","7942","Thomas Vejlgaard","SAS Arena"
1991-03-16,"OB","0-0","FC Nordsjælland","5104","Nicolai Vollquartz","Fionia Park"
1991-03-16,"Viborg FF","3-1","SønderjyskE","4227","René Christensen","Viborg Stadion"
1991-03-16,"FC København","1-1","AGF","20071","Knud Erik Fisker","Parken"
1991-03-16,"AGF","0-4","OB","5383","Kim Milton Nielsen","Århus Stadion"
1991-03-16,"FC Nordsjælland","3-2","FC Midtjylland","2275","Claus Bo Larsen","Farum Park"
1991-03-16,"Silkeborg IF","1-1","Viborg FF","4378","Martin Wulff","Silkeborg Stadion"
1991-03-16,"SønderjyskE","0-1","FC København","7331","Peter Rasmussen","Haderslev Fodboldstadion"
1991-03-16,"AaB","2-0","Esbjerg fB","7200","Anders Hermansen","Aalborg Stadion"
1991-03-16,"AC Horsens","0-0","Brøndby IF","6959","Michael Svendsen","Forum Horsens Stadion"
1991-03-16,"Brøndby IF","2-1","FC Nordsjælland","12453","Knud Erik Fisker","Brøndby Stadion"
1991-03-16,"Esbjerg fB","0-0","AC Horsens","7597","Henning Jensen","Esbjerg Idrætspark"
1991-03-16,"FC Midtjylland","3-3","AGF","7267","Michael Svendsen","SAS Arena"
1991-03-16,"OB","2-3","SønderjyskE","6842","Knud Stadsgaard","Fionia Park"
1991-03-16,"AaB","1-1","Silkeborg IF","7893","Henrik Nystrup Kragh","Aalborg Stadion"
1991-03-16,"FC København","2-1","Viborg FF","18032","Emil Laursen","Parken"
1991-03-16,"Viborg FF","1-2","OB","3318","Knud Erik Fisker","Viborg Stadion"
1991-03-16,"AC Horsens","0-0","AaB","3658","René Christensen","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","2-0","Esbjerg fB","2393","Lars Christoffersen","Farum Park"
1991-03-16,"SønderjyskE","2-4","FC Midtjylland","5344","Emil Laursen","Haderslev Fodboldstadion"
1991-03-16,"FC København","2-0","Silkeborg IF","19001","Thomas Vejlgaard","Parken"
1991-03-16,"AGF","3-0","Brøndby IF","10036","Nicolai Vollquartz","Århus Stadion"
1991-03-16,"Brøndby IF","3-0","SønderjyskE","12836","Michael Svendsen","Brøndby Stadion"
1991-03-16,"Esbjerg fB","0-1","AGF","7741","Claus Bo Larsen","Esbjerg Idrætspark"
1991-03-16,"Silkeborg IF","0-1","AC Horsens","4817","Kim Milton Nielsen","Silkeborg Stadion"
1991-03-16,"AaB","1-1","FC Nordsjælland","6949","Martin Wulff","Aalborg Stadion"
1991-03-16,"FC Midtjylland","1-1","Viborg FF","7512","Peter Rasmussen","SAS Arena"
1991-03-16,"OB","0-2","FC København","12368","Anders Hermansen","Fionia Park"
1991-03-16,"AGF","2-4","AaB","8227","Emil Laursen","Århus Stadion"
1991-03-16,"FC Nordsjælland","5-0","AC Horsens","2246","René Christensen","Farum Park"
1991-03-16,"OB","3-1","Silkeborg IF","5097","Henrik Nystrup Kragh","Fionia Park"
1991-03-16,"SønderjyskE","0-1","Esbjerg fB","5015","Anders Hermansen","Haderslev Fodboldstadion"
1991-03-16,"Viborg FF","3-1","Brøndby IF","8585","Knud Stadsgaard","Viborg Stadion"
1991-03-16,"FC København","3-1","FC Midtjylland","15338","Claus Bo Larsen","Parken"
1991-03-16,"FC Midtjylland","0-1","OB","5949","Emil Laursen","SAS Arena"
1991-03-16,"AC Horsens","1-1","AGF","5011","Knud Erik Fisker","Forum Horsens Stadion"
1991-03-16,"Esbjerg fB","1-4","Viborg FF","5255","Kim Milton Nielsen","Esbjerg Idrætspark"
1991-03-16,"Silkeborg IF","1-1","FC Nordsjælland","2555","Henning Jensen","Silkeborg Stadion"
1991-03-16,"AaB","3-2","SønderjyskE","6623","Thomas Vejlgaard","Aalborg Stadion"
1991-03-16,"Brøndby IF","1-1","FC København","28298","Nicolai Vollquartz","Brøndby Stadion"
1991-03-16,"OB","1-3","Brøndby IF","12648","Kim Milton Nielsen","Fionia Park"
1991-03-16,"AGF","0-2","FC Nordsjælland","6545","Peter Rasmussen","Århus Stadion"
1991-03-16,"SønderjyskE","1-3","AC Horsens","4145","Emil Laursen","Haderslev Fodboldstadion"
1991-03-16,"Viborg FF","2-0","AaB","6832","Michael Svendsen","Viborg Stadion"
1991-03-16,"FC København","5-1","Esbjerg fB","20099","Knud Stadsgaard","Parken"
1991-03-16,"FC Midtjylland","1-0","Silkeborg IF","6382","Lars Christoffersen","SAS Arena"
1991-03-16,"FC Nordsjælland","2-2","Silkeborg IF","3047","Nicolai Vollquartz","Farum Park"
1991-03-16,"AGF","2-2","Esbjerg fB","5251","Claus Bo Larsen","Århus Stadion"
1991-03-16,"Viborg FF","1-1","SønderjyskE","4607","Anders Hermansen","Viborg Stadion"
1991-03-16,"AaB","2-2","FC Midtjylland","7909","René Christensen","Aalborg Stadion"
1991-03-16,"FC København","1-1","OB","20054","Martin Wulff","Parken"
1991-03-16,"Brøndby IF","4-1","AC Horsens","15058","Michael Svendsen","Brøndby Stadion"
1991-03-16,"FC Midtjylland","0-1","Viborg FF","9490","Thomas Vejlgaard","SAS Arena"
1991-03-16,"AC Horsens","0-0","FC Nordsjælland","3041","Anders Hermansen","Forum Horsens Stadion"
1991-03-16,"OB","3-1","AGF","8365","Nicolai Vollquartz","Fionia Park"
1991-03-16,"Esbjerg fB","2-1","AaB","7071","Knud Erik Fisker","Esbjerg Idrætspark"
1991-03-16,"Silkeborg IF","0-3","FC København","5710","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"SønderjyskE","1-2","Brøndby IF","8302","René Christensen","Haderslev Fodboldstadion"
1991-03-16,"FC København","1-0","AC Horsens","15025","Kim Milton Nielsen","Parken"
1991-03-16,"FC Nordsjælland","4-2","SønderjyskE","2567","Michael Svendsen","Farum Park"
1991-03-16,"Silkeborg IF","1-0","OB","2681","Henrik Nystrup Kragh","Silkeborg Stadion"
1991-03-16,"Viborg FF","1-0","Esbjerg fB","4276","Peter Rasmussen","Viborg Stadion"
1991-03-16,"AaB","1-1","AGF","7369","Knud Stadsgaard","Aalborg Stadion"
1991-03-16,"Brøndby IF","5-0","FC Midtjylland","20015","Knud Erik Fisker","Brøndby Stadion"
1991-03-16,"AC Horsens","0-0","Silkeborg IF","2680","Martin Wulff","Forum Horsens Stadion"
1991-03-16,"AGF","3-3","Viborg FF","5626","Henning Jensen","Århus Stadion"
1991-03-16,"OB","0-2","AaB","4395","Emil Laursen","Fionia Park"
1991-03-16,"FC Midtjylland","1-1","FC Nordsjælland","5503","Anders Hermansen","SAS Arena"
1991-03-16,"SønderjyskE","1-4","FC København","4437","Claus Bo Larsen","Haderslev Fodboldstadion"
1991-03-16,"Esbjerg fB","0-0","Brøndby IF","7768","Kim Milton Nielsen","Esbjerg Idrætspark"
1991-03-16,"Viborg FF","2-0","AaB","4154","Lars Christoffersen","Viborg Stadion"
1991-03-16,"AC Horsens","0-0","OB","3295","Michael Svendsen","Forum Horsens Stadion"
1991-03-16,"Brøndby IF","4-0","AGF","21227","Thomas Vejlgaard","Brøndby Stadion"
1991-03-16,"FC Nordsjælland","0-2","Esbjerg fB","3124","Henrik Nystrup Kragh","Farum Park"
1991-03-16,"Silkeborg IF","0-1","SønderjyskE","3166","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"FC København","2-0","FC Midtjylland","18170","Nicolai Vollquartz","Parken"
1991-03-16,"Esbjerg fB","3-1","FC København","7488","Anders Hermansen","Esbjerg Idrætspark"
1991-03-16,"AGF","1-3","FC Nordsjælland","10132","Michael Svendsen","Århus Stadion"
1991-03-16,"OB","3-0","Viborg FF","5633","Kim Milton Nielsen","Fionia Park"
1991-03-16,"FC Midtjylland","0-2","Silkeborg IF","7039","Emil Laursen","SAS Arena"
1991-03-16,"SønderjyskE","1-1","AC Horsens","3468","Knud Stadsgaard","Haderslev Fodboldstadion"
1991-03-16,"AaB","3-0","Brøndby IF","10844","Peter Rasmussen","Aalborg Stadion"
1991-03-16,"Brøndby IF","1-0","Viborg FF","15478","Claus Bo Larsen","Brøndby Stadion"
1991-03-16,"AC Horsens","3-4","FC Midtjylland","2671","Henrik Nystrup Kragh","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","0-1","AaB","2695","Anders Hermansen","Farum Park"
1991-03-16,"Silkeborg IF","2-1","Esbjerg fB","2798","Thomas Vejlgaard","Silkeborg Stadion"
1991-03-16,"SønderjyskE","2-4","OB","2915","Knud Erik Fisker","Haderslev Fodboldstadion"
1991-03-16,"FC København","1-1","AGF","21374","Kim Milton Nielsen","Parken"
1991-03-16,"OB","0-1","Brøndby IF","8412","Lars Christoffersen","Fionia Park"
1991-03-16,"AGF","2-0","Silkeborg IF","10456","Nicolai Vollquartz","Århus Stadion"
1991-03-16,"FC Midtjylland","2-2","SønderjyskE","6012","Thomas Vejlgaard","SAS Arena"
1991-03-16,"Esbjerg fB","1-1","AC Horsens","5742","Henning Jensen","Esbjerg Idrætspark"
1991-03-16,"Viborg FF","4-1","FC Nordsjælland","3437","Michael Svendsen","Viborg Stadion"
1991-03-16,"AaB","0-2","FC København","8343","Emil Laursen","Aalborg Stadion"
1991-03-16,"FC Midtjylland","1-2","OB","4049","Knud Stadsgaard","SAS Arena"
1991-03-16,"AC Horsens","2-1","AGF","4958","Thomas Vejlgaard","Forum Horsens Stadion"
1991-03-16,"FC København","3-1","Viborg FF","25015","Peter Rasmussen","Parken"
1991-03-16,"Silkeborg IF","1-4","AaB","2485","Knud Erik Fisker","Silkeborg Stadion"
1991-03-16,"SønderjyskE","1-3","Esbjerg fB","3428","Claus Bo Larsen","Haderslev Fodboldstadion"
1991-03-16,"FC Nordsjælland","0-2","Brøndby IF","6344","Martin Wulff","Farum Park"
1991-03-16,"AGF","1-1","SønderjyskE","8088","Emil Laursen","NRGi Park"
1991-03-16,"OB","2-0","FC Nordsjælland","10714","Michael Svendsen","Fionia Park"
1991-03-16,"Esbjerg fB","2-0","FC Midtjylland","6236","Kim Milton Nielsen","Esbjerg Idrætspark"
1991-03-16,"Viborg FF","2-3","Silkeborg IF","4027","Thomas Vejlgaard","Viborg Stadion"
1991-03-16,"AaB","2-2","AC Horsens","4827","Henrik Nystrup Kragh","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-0","FC København","26018","Knud Erik Fisker","Brøndby Stadion"
1991-03-16,"Silkeborg IF","2-0","Brøndby IF","2808","Peter Rasmussen","Viborg Stadion"
1991-03-16,"FC Midtjylland","2-0","AGF","6319","Claus Bo Larsen","SAS Arena"
1991-03-16,"AC Horsens","3-1","Viborg FF","3287","Anders Hermansen","Forum Horsens Stadion"
1991-03-16,"OB","1-0","Esbjerg fB","8132","Lars Christoffersen","Fionia Park"
1991-03-16,"SønderjyskE","2-2","AaB","2967","Knud Stadsgaard","Haderslev Fodboldstadion"
1991-03-16,"FC København","3-3","FC Nordsjælland","21686","Nicolai Vollquartz","Parken"
1991-03-16,"Esbjerg fB","1-0","OB","4838","Knud Erik Fisker","Esbjerg Idrætspark"
1991-03-16,"AGF","1-2","FC Midtjylland","7409","René Christensen","NRGi Park"
1991-03-16,"Viborg FF","1-1","AC Horsens","3115","Henning Jensen","Viborg Stadion"
1991-03-16,"AaB","2-2","SønderjyskE","3543","Claus Bo Larsen","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-1","Silkeborg IF","11559","Kim Milton Nielsen","Brøndby Stadion"
1991-03-16,"FC Nordsjælland","1-1","FC København","8538","Emil Laursen","Farum Park"
1991-03-16,"Brøndby IF","1-0","OB","13017","Anders Hermansen","Brøndby Stadion"
1991-03-16,"AC Horsens","1-0","Esbjerg fB","3615","Michael Svendsen","Forum Horsens Stadion"
1991-03-16,"FC København","1-0","AaB","17331","Thomas Vejlgaard","Parken"
1991-03-16,"FC Nordsjælland","1-3","Viborg FF","1965","Claus Bo Larsen","Farum Park"
1991-03-16,"Silkeborg IF","1-0","AGF","5427","Knud Stadsgaard","Silkeborg Stadion"
1991-03-16,"SønderjyskE","0-2","FC Midtjylland","2347","Henrik Nystrup Kragh","Haderslev Fodboldstadion"
1991-03-16,"AGF","0-4","FC København","6292","Kim Milton Nielsen","NRGi Park"
1991-03-16,"AaB","2-4","FC Nordsjælland","3727","René Christensen","Aalborg Stadion"
1991-03-16,"OB","3-0","SønderjyskE","7007","Emil Laursen","Fionia Park"
1991-03-16,"FC Midtjylland","0-0","AC Horsens","6888","Lars Christoffersen","SAS Arena"
1991-03-16,"Esbjerg fB","2-0","Silkeborg IF","6364","Henning Jensen","Esbjerg Idrætspark"
1991-03-16,"Viborg FF","2-0","Brøndby IF","7391","Knud Erik Fisker","Viborg Stadion"
1991-03-16,"Brøndby IF","4-3","AaB","14354","Emil Laursen","Brøndby Stadion"
1991-03-16,"Silkeborg IF","0-0","FC Midtjylland","3683","Nicolai Vollquartz","Silkeborg Stadion"
1991-03-16,"AC Horsens","2-0","SønderjyskE","3617","Kim Milton Nielsen","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","3-1","AGF","2699","Thomas Vejlgaard","Farum Park"
1991-03-16,"Viborg FF","2-2","OB","5027","Michael Svendsen","Viborg Stadion"
1991-03-16,"FC København","2-1","Esbjerg fB","19374","Claus Bo Larsen","Parken"
1991-03-16,"Esbjerg fB","4-0","FC Nordsjælland","6801","Anders Hermansen","Esbjerg Idrætspark"
1991-03-16,"FC Midtjylland","1-3","FC København","9605","Henrik Nystrup Kragh","SAS Arena"
1991-03-16,"OB","3-0","AC Horsens","6818","René Christensen","Fionia Park"
1991-03-16,"SønderjyskE","2-0","Silkeborg IF","1307","Lars Christoffersen","Haderslev Fodboldstadion"
1991-03-16,"AaB","1-1","Viborg FF","5705","Henning Jensen","Aalborg Stadion"
1991-03-16,"AGF","0-1","Brøndby IF","8509","Knud Stadsgaard","NRGi Park"
1991-03-16,"Silkeborg IF","2-1","AC Horsens","3247","Michael Svendsen","Silkeborg Stadion"
1991-03-16,"FC København","4-1","SønderjyskE","20660","Peter Rasmussen","Parken"
1991-03-16,"FC Nordsjælland","2-2","FC Midtjylland","2286","Kim Milton Nielsen","Farum Park"
1991-03-16,"Viborg FF","2-2","AGF","4866","Emil Laursen","Viborg Stadion"
1991-03-16,"AaB","0-0","OB","5582","Knud Erik Fisker","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-0","Esbjerg fB","19438","Nicolai Vollquartz","Brøndby Stadion"
1991-03-16,"AC Horsens","0-1","FC København","6208","Claus Bo Larsen","Forum Horsens Stadion"
1991-03-16,"SønderjyskE","2-2","FC Nordsjælland","1557","Henning Jensen","Haderslev Fodboldstadion"
1991-03-16,"AGF","1-1","AaB","6752","Anders Hermansen","NRGi Park"
1991-03-16,"Esbjerg fB","3-2","Viborg FF","7233","Thomas Vejlgaard","Esbjerg Idrætspark"
1991-03-16,"OB","2-1","Silkeborg IF","7862","Emil Laursen","Fionia Park"
1991-03-16,"FC Midtjylland","2-0","Brøndby IF","10505","Kim Milton Nielsen","SAS Arena"
1991-03-16,"SønderjyskE","1-0","AGF","2213","Nicolai Vollquartz","Haderslev Fodboldstadion"
1991-03-16,"AC Horsens","0-1","AaB","2857","Lars Christoffersen","Forum Horsens Stadion"
1991-03-16,"FC Midtjylland","0-0","Esbjerg fB","8037","Knud Stadsgaard","SAS Arena"
1991-03-16,"FC Nordsjælland","0-3","OB","2536","Henrik Nystrup Kragh","Farum Park"
1991-03-16,"Silkeborg IF","1-3","Viborg FF","3456","René Christensen","Silkeborg Stadion"
1991-03-16,"FC København","0-0","Brøndby IF","41201","Claus Bo Larsen","Parken"
1991-03-16,"AGF","0-1","AC Horsens","5156","Knud Erik Fisker","NRGi Park"
1991-03-16,"OB","0-1","FC Midtjylland","8937","Lars Christoffersen","Fionia Park"
1991-03-16,"Esbjerg fB","3-2","SønderjyskE","6172","Henrik Nystrup Kragh","Esbjerg Idrætspark"
1991-03-16,"Viborg FF","0-1","FC København","9353","Kim Milton Nielsen","Viborg Stadion"
1991-03-16,"AaB","1-0","Silkeborg IF","5245","Peter Rasmussen","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-1","FC Nordsjælland","12722","Michael Svendsen","Brøndby Stadion"
1991-03-16,"AC Horsens","4-1","Brøndby IF","5218","Nicolai Vollquartz","Forum Horsens Stadion"
1991-03-16,"OB","1-0","FC København","15305","Michael Svendsen","Fionia Park"
1991-03-16,"FC Midtjylland","2-4","AaB","6179","Emil Laursen","SAS Arena"
1991-03-16,"Esbjerg fB","1-3","AGF","7211","Peter Rasmussen","Esbjerg Idrætspark"
1991-03-16,"Silkeborg IF","2-0","FC Nordsjælland","2637","Thomas Vejlgaard","Silkeborg Stadion"
1991-03-16,"SønderjyskE","0-4","Viborg FF","3368","Claus Bo Larsen","Haderslev Fodboldstadion"
1991-03-16,"AGF","0-2","OB","7132","Knud Stadsgaard","NRGi Park"
1991-03-16,"Brøndby IF","1-2","SønderjyskE","11805","Kim Milton Nielsen","Brøndby Stadion"
1991-03-16,"FC København","2-3","Silkeborg IF","38084","Knud Erik Fisker","Parken"
1991-03-16,"FC Nordsjælland","3-0","AC Horsens","2104","Henning Jensen","Farum Park"
1991-03-16,"Viborg FF","1-1","FC Midtjylland","6159","Anders Hermansen","Viborg Stadion"
1991-03-16,"AaB","1-0","Esbjerg fB","6945","René Christensen","Aalborg Stadion"
1991-03-16,"AC Horsens","0-1","FC København","5149","Claus Bo Larsen","Forum Horsens Stadion"
1991-03-16,"Esbjerg fB","2-1","Silkeborg IF","5805","Lars Christoffersen","Esbjerg Idrætspark"
1991-03-16,"FC Nordsjælland","5-0","Randers FC","2053","Henrik Nystrup Kragh","Farum Park"
1991-03-16,"OB","1-1","FC Midtjylland","5614","Nicolai Vollquartz","Fionia Park"
1991-03-16,"AaB","3-1","Viborg FF","8015","Henning Jensen","Aalborg Stadion"
1991-03-16,"Brøndby IF","2-1","Vejle BK","14499","Emil Laursen","Brøndby Stadion"
1991-03-16,"Silkeborg IF","1-4","FC København","4132","Henrik Nystrup Kragh","Silkeborg Stadion"
1991-03-16,"Esbjerg fB","1-2","AaB","5340","Henrik Priegel","Esbjerg Idrætspark"
1991-03-16,"Randers FC","1-0","AC Horsens","4339","René Christensen","Essex Park Randers"
1991-03-16,"Viborg FF","0-1","FC Midtjylland","4029","Claus Bo Larsen","Viborg Stadion"
1991-03-16,"Brøndby IF","2-1","FC Nordsjælland","13394","Thomas Vejlgaard","Brøndby Stadion"
1991-03-16,"Vejle BK","1-3","OB","6030","Jesper Bæk Overgaard","Vejle Stadion"
1991-03-16,"OB","0-2","Esbjerg fB","4892","Henning Jensen","Fionia Park"
1991-03-16,"AC Horsens","2-2","Viborg FF","2774","Emil Laursen","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","1-0","Silkeborg IF","2731","Nicolai Vollquartz","Farum Park"
1991-03-16,"AaB","4-0","Vejle BK","8384","Lars Christoffersen","Aalborg Stadion"
1991-03-16,"FC Midtjylland","1-1","Brøndby IF","10274","Michael Svendsen","SAS Arena"
1991-03-16,"FC København","2-1","Randers FC","21512","Anders Hermansen","Parken"
1991-03-16,"Viborg FF","1-3","FC København","5102","Michael Svendsen","Viborg Stadion"
1991-03-16,"Brøndby IF","3-0","AC Horsens","12146","Nicolai Vollquartz","Brøndby Stadion"
1991-03-16,"Esbjerg fB","3-5","FC Nordsjælland","6902","René Christensen","Esbjerg Idrætspark"
1991-03-16,"Silkeborg IF","0-2","AaB","3854","Claus Bo Larsen","Silkeborg Stadion"
1991-03-16,"Vejle BK","2-5","FC Midtjylland","4508","Emil Laursen","Vejle Stadion"
1991-03-16,"OB","1-1","Randers FC","5521","Anders Hermansen","Fionia Park"
1991-03-16,"FC Midtjylland","1-0","AaB","6090","Anders Hermansen","SAS Arena"
1991-03-16,"AC Horsens","1-1","Esbjerg fB","2853","Henrik Nystrup Kragh","Forum Horsens Stadion"
1991-03-16,"FC Nordsjælland","1-0","Vejle BK","3058","Henning Jensen","Farum Park"
1991-03-16,"Randers FC","1-1","Brøndby IF","9153","Peter Rasmussen","Essex Park Randers"
1991-03-16,"Viborg FF","2-3","Silkeborg IF","3851","Henrik Priegel","Viborg Stadion"
1991-03-16,"FC København","1-1","OB","14367","Lars Christoffersen","Parken"
1991-03-16,"Vejle BK","0-4","FC København","5403","Nicolai Vollquartz","Vejle Stadion"
1991-03-16,"Esbjerg fB","4-2","FC Midtjylland","6378","Peter Rasmussen","Esbjerg Idrætspark"
1991-03-16,"OB","2-1","FC Nordsjælland","5123","Michael Svendsen","Fionia Park"
1991-03-16,"Silkeborg IF","0-2","AC Horsens","3947","Emil Laursen","Silkeborg Stadion"
1991-03-16,"AaB","2-1","Randers FC","9496","Thomas Vejlgaard","Aalborg Stadion"
1991-03-16,"Brøndby IF","3-0","Viborg FF","14741","Henrik Nystrup Kragh","Brøndby Stadion"
1991-03-16,"AC Horsens","0-2","OB","3378","Henning Jensen","Forum Horsens Stadion"
1991-03-16,"Randers FC","3-1","Esbjerg fB","5036","Jesper Bæk Overgaard","Essex Park Randers"
1991-03-16,"Viborg FF","1-0","Vejle BK","4132","Peter Rasmussen","Viborg Stadion"
1991-03-16,"FC København","0-2","AaB","19615","Emil Laursen","Parken"
1991-03-16,"FC Midtjylland","2-2","FC Nordsjælland","6097","Claus Bo Larsen","SAS Arena"
1991-03-16,"Brøndby IF","1-1","Silkeborg IF","7757","Claus Bo Larsen","Brøndby Stadion"
